Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority,Expiry Date,Usage Limit,Preferred Zone
1,Sensor Module,35,27,30,32,56,3/15/2027,54 uses,Storage Bay
2,Spare Gloves,42,33,15,37,98,3/15/2027,99 uses,Crew Quarters
3,Harness System,18,46,40,41,39,N/A,38 uses,Crew Quarters
4,Portable Fan,41,15,53,7,37,12-01-2026,12 uses,Airlock
5,Emergency Alarm,20,40,18,21,94,3/15/2027,129 uses,Laboratory
6,Gas Mask,46,31,56,12,96,N/A,31 uses,Laboratory
7,CO2 Scrubber,20,37,15,18,6,12-01-2026,89 uses,Airlock
8,Repair Kit,20,27,88,26,4,3/15/2027,156 uses,Airlock
9,First Aid Kit,15,49,51,12,99,7/22/2028,139 uses,Laboratory
10,Portable Heater,30,13,85,21,89,3/15/2027,100 uses,Storage Bay
11,Filter Cartridge,49,33,20,7,83,N/A,147 uses,Airlock
12,Pressure Regulator,23,40,71,27,18,N/A,107 uses,Laboratory
13,Anti-fog Spray,27,22,53,18,96,N/A,170 uses,Airlock
14,Thermal Socks,24,49,62,36,88,12-01-2026,163 uses,Storage Bay
15,Portable Heater,18,30,13,11,7,7/22/2028,27 uses,Airlock
16,Microbial Test Kit,20,46,14,21,88,12-01-2026,83 uses,Laboratory
17,Anchor Hook,36,43,53,43,3,N/A,49 uses,Medical Bay
18,Cooling Gel,39,31,84,46,57,7/22/2028,64 uses,Medical Bay
19,Sleeping Mat,25,41,63,26,39,7/22/2028,124 uses,Airlock
20,Portable Charger,11,30,23,18,83,7/22/2028,178 uses,Storage Bay
21,Sealable Storage Bag,24,20,39,12,34,3/15/2027,112 uses,Storage Bay
22,Sterile Wipes,49,16,66,13,24,N/A,194 uses,Laboratory
23,Portable Water Filter,23,15,61,4,94,3/15/2027,5 uses,Medical Bay
24,Fire Extinguisher,37,28,71,33,19,7/22/2028,35 uses,Laboratory
25,Insulation Foam,12,32,74,4,38,3/15/2027,108 uses,Airlock
26,GPS Unit,11,26,62,38,46,3/15/2027,89 uses,Airlock
27,Hand Warmer,37,37,74,42,55,3/15/2027,34 uses,Airlock
28,Thermal Imaging Camera,27,13,48,36,9,7/22/2028,187 uses,Crew Quarters
29,Oxygen Mask,22,47,91,37,68,7/22/2028,23 uses,Airlock
30,Quick Patch Kit,40,20,89,5,74,7/22/2028,192 uses,Storage Bay
31,Thermal Socks,43,37,50,46,42,12-01-2026,17 uses,Crew Quarters
32,Compact Mirror,17,49,60,32,72,N/A,187 uses,Laboratory
33,Hand Crank Generator,40,45,91,33,100,7/22/2028,149 uses,Laboratory
34,Expandable Ladder,44,11,93,36,30,3/15/2027,50 uses,Laboratory
35,Sleeping Bag,32,15,12,25,22,N/A,78 uses,Crew Quarters
36,Survival Knife,32,20,17,39,26,7/22/2028,56 uses,Crew Quarters
37,Heat Resistant Suit,42,11,86,50,78,12-01-2026,109 uses,Laboratory
38,Communication Device,44,25,22,14,73,3/15/2027,79 uses,Airlock
39,Cooling Vest,37,45,58,11,36,N/A,23 uses,Airlock
40,Safety Goggles,47,32,34,27,85,3/15/2027,31 uses,Storage Bay
41,GPS Unit,49,18,73,47,8,12-01-2026,32 uses,Medical Bay
42,Rope Cutter,42,27,11,39,5,N/A,190 uses,Medical Bay
43,Space Blanket,33,16,35,41,53,N/A,54 uses,Airlock
44,Oxygen Cylinder,39,26,43,34,74,N/A,118 uses,Medical Bay
45,Battery Pack,38,47,100,29,94,3/15/2027,199 uses,Airlock
46,Structural Adhesive,13,37,68,23,38,7/22/2028,182 uses,Laboratory
47,Battery Pack,15,31,46,36,18,3/15/2027,170 uses,Crew Quarters
48,Radiation Shield,33,10,17,36,67,12-01-2026,13 uses,Medical Bay
49,Air Filter,37,34,51,39,8,N/A,36 uses,Medical Bay
50,Flashlight,41,29,72,48,8,7/22/2028,22 uses,Crew Quarters
