Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority,Expiry Date,Usage Limit,Preferred Zone
1,Sensor Module,35,27,30,32,56,3/15/2027,54 uses,Storage Bay
2,Spare Gloves,42,33,15,37,98,3/15/2027,99 uses,Crew Quarters
3,Harness System,18,46,40,41,39,N/A,38 uses,Crew Quarters
4,Portable Fan,41,15,53,7,37,12-01-2026,12 uses,Airlock
5,Emergency Alarm,20,40,18,21,94,3/15/2027,129 uses,Laboratory
6,Gas Mask,46,31,56,12,96,N/A,31 uses,Laboratory
7,CO2 Scrubber,20,37,15,18,6,12-01-2026,89 uses,Airlock
8,Repair Kit,20,27,88,26,4,3/15/2027,156 uses,Airlock
9,First Aid Kit,15,49,51,12,99,7/22/2028,139 uses,Laboratory
10,Portable Heater,30,13,85,21,89,3/15/2027,100 uses,Storage Bay
11,Filter Cartridge,49,33,20,7,83,N/A,147 uses,Airlock
12,Pressure Regulator,23,40,71,27,18,N/A,107 uses,Laboratory
13,Anti-fog Spray,27,22,53,18,96,N/A,170 uses,Airlock
14,Thermal Socks,24,49,62,36,88,12-01-2026,163 uses,Storage Bay
15,Portable Heater,18,30,13,11,7,7/22/2028,27 uses,Airlock
16,Microbial Test Kit,20,46,14,21,88,12-01-2026,83 uses,Laboratory
17,Anchor Hook,36,43,53,43,3,N/A,49 uses,Medical Bay
18,Cooling Gel,39,31,84,46,57,7/22/2028,64 uses,Medical Bay
19,Sleeping Mat,25,41,63,26,39,7/22/2028,124 uses,Airlock
20,Portable Charger,11,30,23,18,83,7/22/2028,178 uses,Storage Bay
21,Sealable Storage Bag,24,20,39,12,34,3/15/2027,112 uses,Storage Bay
22,Sterile Wipes,49,16,66,13,24,N/A,194 uses,Laboratory
23,Portable Water Filter,23,15,61,4,94,3/15/2027,5 uses,Medical Bay
24,Fire Extinguisher,37,28,71,33,19,7/22/2028,35 uses,Laboratory
25,Insulation Foam,12,32,74,4,38,3/15/2027,108 uses,Airlock
26,GPS Unit,11,26,62,38,46,3/15/2027,89 uses,Airlock
27,Hand Warmer,37,37,74,42,55,3/15/2027,34 uses,Airlock
28,Thermal Imaging Camera,27,13,48,36,9,7/22/2028,187 uses,Crew Quarters
29,Oxygen Mask,22,47,91,37,68,7/22/2028,23 uses,Airlock
30,Quick Patch Kit,40,20,89,5,74,7/22/2028,192 uses,Storage Bay
31,Thermal Socks,43,37,50,46,42,12-01-2026,17 uses,Crew Quarters
32,Compact Mirror,17,49,60,32,72,N/A,187 uses,Laboratory
33,Hand Crank Generator,40,45,91,33,100,7/22/2028,149 uses,Laboratory
34,Expandable Ladder,44,11,93,36,30,3/15/2027,50 uses,Laboratory
35,Sleeping Bag,32,15,12,25,22,N/A,78 uses,Crew Quarters
36,Survival Knife,32,20,17,39,26,7/22/2028,56 uses,Crew Quarters
37,Heat Resistant Suit,42,11,86,50,78,12-01-2026,109 uses,Laboratory
38,Communication Device,44,25,22,14,73,3/15/2027,79 uses,Airlock
39,Cooling Vest,37,45,58,11,36,N/A,23 uses,Airlock
40,Safety Goggles,47,32,34,27,85,3/15/2027,31 uses,Storage Bay
41,GPS Unit,49,18,73,47,8,12-01-2026,32 uses,Medical Bay
42,Rope Cutter,42,27,11,39,5,N/A,190 uses,Medical Bay
43,Space Blanket,33,16,35,41,53,N/A,54 uses,Airlock
44,Oxygen Cylinder,39,26,43,34,74,N/A,118 uses,Medical Bay
45,Battery Pack,38,47,100,29,94,3/15/2027,199 uses,Airlock
46,Structural Adhesive,13,37,68,23,38,7/22/2028,182 uses,Laboratory
47,Battery Pack,15,31,46,36,18,3/15/2027,170 uses,Crew Quarters
48,Radiation Shield,33,10,17,36,67,12-01-2026,13 uses,Medical Bay
49,Air Filter,37,34,51,39,8,N/A,36 uses,Medical Bay
50,Flashlight,41,29,72,48,8,7/22/2028,22 uses,Crew Quarters
51,Portable Charger,23,38,63,16,58,3/15/2027,131 uses,Medical Bay
52,Adhesive Tape,13,12,28,36,100,12-01-2026,132 uses,Storage Bay
53,Mechanical Wrench,33,49,92,9,82,3/15/2027,174 uses,Storage Bay
54,Navigation Tablet,38,12,60,48,44,N/A,118 uses,Airlock
55,Safety Goggles,20,16,37,2,53,N/A,5 uses,Airlock
56,Hand Sanitizer,34,37,58,40,94,N/A,198 uses,Storage Bay
57,Solar Charger,10,30,47,5,47,7/22/2028,84 uses,Medical Bay
58,Portable Air Pump,26,39,66,42,66,N/A,38 uses,Laboratory
59,Portable Stove,31,48,42,8,28,7/22/2028,30 uses,Crew Quarters
60,Collapsible Bucket,29,26,84,45,14,7/22/2028,102 uses,Airlock
61,Defibrillator,43,40,92,46,28,N/A,129 uses,Storage Bay
62,Multimeter,39,39,58,46,16,N/A,54 uses,Crew Quarters
63,Disposable Gloves,49,21,72,22,5,3/15/2027,42 uses,Crew Quarters
64,Space Blanket,31,32,85,9,47,7/22/2028,106 uses,Airlock
65,Disposable Gloves,23,37,97,45,12,3/15/2027,71 uses,Laboratory
66,Kevlar Vest,19,36,31,18,34,12-01-2026,27 uses,Medical Bay
67,Portable Stove,13,48,50,32,59,3/15/2027,177 uses,Storage Bay
68,Hand Sanitizer,10,28,35,43,76,3/15/2027,59 uses,Crew Quarters
69,Biohazard Kit,23,12,97,43,52,7/22/2028,165 uses,Storage Bay
70,Fireproof Gloves,38,34,54,38,47,12-01-2026,92 uses,Airlock
71,Heat Resistant Suit,33,39,25,36,97,7/22/2028,41 uses,Airlock
72,Tool Kit,45,16,36,42,38,3/15/2027,185 uses,Laboratory
73,Multimeter,31,35,13,22,92,N/A,160 uses,Crew Quarters
74,Water Bottle,25,47,99,15,90,12-01-2026,94 uses,Laboratory
75,Water Bottle,26,15,31,29,31,12-01-2026,22 uses,Airlock
76,Insulin Syringe,29,11,50,2,3,N/A,81 uses,Airlock
77,Weight Belt,25,36,98,30,55,3/15/2027,25 uses,Medical Bay
78,Food Packet,31,42,40,49,71,12-01-2026,144 uses,Crew Quarters
79,Dust Mask,44,15,43,5,96,7/22/2028,133 uses,Airlock
80,Anti-radiation Pills,25,23,26,26,74,3/15/2027,32 uses,Medical Bay
81,Duct Tape,22,25,27,50,7,7/22/2028,137 uses,Airlock
82,Cooling Vest,12,11,22,12,25,7/22/2028,57 uses,Crew Quarters
83,Solar Charger,25,30,21,15,10,3/15/2027,58 uses,Medical Bay
84,Portable Bunk,23,10,25,23,38,12-01-2026,97 uses,Medical Bay
85,Foam Earplugs,46,50,38,37,37,7/22/2028,134 uses,Crew Quarters
86,Vacuum Seal Bag,21,26,96,19,91,3/15/2027,51 uses,Laboratory
87,Climbing Rope,17,41,99,2,39,3/15/2027,36 uses,Storage Bay
